&#65279;"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"QL5CAEQV","book","2006","McClellan, James E. III; Dorn, Harold","Science and technology in world history: an introduction","","978-0-8018-8359-0 978-0-8018-8360-6","","","http://catdir.loc.gov/catdir/toc/ecip0519/2005027399.html","","2006","2020-09-16 14:28:57","2020-09-16 15:56:00","2020-09-16 14:28:57","","ix, 478","","","","","Science and technology in world history","","","","","Johns Hopkins University Press","Baltimore","English","","","","","WorldCat Discovery Service","","Section: ix, 478 pages : illustrations ; 24 cm","","","","História da ciência.; History.; Naturwissenschaften; Naturwissenschaften.; Science history.; Science History.; Science.; Technik; Technik.; Technology history.; Technology History.; Technology.; Tecnologia (história); Tool and die makers History.; Tool and die makers.","","","","","","","","","","","","","","","","","","","","","2nd ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TKX5N4NL","book","2017","Kahn, Shulamit Beth; Ginther, Donna K.; National Bureau of Economic Research","Women and STEM","","","","","","","2017","2020-09-16 14:28:57","2020-09-16 15:57:10","","","42","","","","","","NBER working paper series, 0898-2937 ; working paper 23525","","","","National Bureau of Economic Research","Cambridge, MA","English","","","","","WorldCat Discovery Service","","Section: 42 pages : illustrations (black and white) ; 22 cm","","","","NONE FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FTUAA9JU","book","2016","Gagne, Tammy.","Women in engineering","","978-1-68078-267-7","","","","","2016","2020-09-16 14:29:26","2020-09-16 15:50:19","","","48","","","","","","Women in STEM.","","","","Abdo Pub.","Minneapolis, MN","English","","","","","WorldCat Discovery Service","","Section: 48 pages : illustrations (chiefly color) ; 24 cm.","","","","Engineering Vocational guidance.; Juvenile works.; Literature.; Technology Vocational guidance.; Vocational guidance.; Women engineers.; Women in engineering Juvenile literature.; Women in engineering.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KJMQR5RF","book","2002","DiGeorgio-Lutz, JoAnn.","Women in higher education: empowering change","","978-0-89789-887-4","","","","","2002","2020-09-16 14:29:26","2020-09-16 15:50:51","","","viii, 184","","","","","Women in higher education","","","","","Praeger","Westport, Conn.","English","","","","","WorldCat Discovery Service","","Section: viii, 184 pages ; 25 cm","","","","Feminism and higher education.; Féminisme et enseignement supérieur.; Femmes dans l'enseignement supérieur.; Women in higher education.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TV5N6GGT","book","2000","Riley, Jocelyn.","Women in engineering: a resource guide","","978-1-877933-93-6","","","","","2000","2020-09-16 14:29:26","2020-09-16 15:49:08","","","x, 114","","","","","Women in engineering","","","","","Her Own Words","Madison, Wis.","English","","","","","WorldCat Discovery Service","","Section: x, 114 pages ; 28 cm","","","","Biographies.; Women engineers Biography.; Women engineers Vocational guidance.; Women engineers.","","","","","","","","","","","","","","","","","","","","","1st ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IPSKHPF7","book","2008","United States. Congress. House. Committee on Science and Technology (2007). Subcommittee on Research and Science Education.","Women in academic science and engineering: hearing before the Subcommittee on Research and Science Education, Committee on Science and Technology, House of Representatives, One Hundred Tenth Congress, first session, October 17, 2007.","","978-0-16-080294-2","","","http://purl.access.gpo.gov/GPO/LPS91069","","2008","2020-09-16 14:29:26","2020-09-16 15:47:47","2020-09-16 14:29:25","","iv, 70","","","","","Women in academic science and engineering","","","","","U.S. G.P.O.","Washington","English","","","","","WorldCat Discovery Service","","Section: iv, 70 pages : illustrations ; 24 cm","","","","Electronic government information United States.; Engineering Study and teaching (Higher); Engineering Study and teaching (Higher) United States.; Government publications United States.; Science Study and teaching (Higher); Science Study and teaching (Higher) United States.; United States.; Women college teachers Recruiting United States.; Women college teachers Social conditions.; Women college teachers United States Social conditions.; Women in engineering United States.; Women in engineering.; Women in science United States.; Women in science.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCKQYTQ3","book","2013","SANCHEZ CRUZ ELIDA.","WOMEN IN SCIENCE AND ENGINEERING.","","978-3-659-31663-0","","","","","2013","2020-09-16 14:29:26","2020-09-16 15:48:44","","","","","","","","","","","","","LAP LAMBERT ACADEMIC PUBL","[Place of publication not identified]","English","","","","","WorldCat Discovery Service","","","","","","NONE FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I86KA73X","book","2008","Armstrong, Mabel.","Women astronomers: reaching for the stars","","978-0-9728929-5-7 978-1-4395-6891-0","","","http://catdir.loc.gov/catdir/toc/ecip0719/2007022318.html","","2008","2020-09-16 14:29:26","2020-09-16 15:52:04","2020-09-16 14:29:26","","","","","","","Women astronomers","Discovering women in science series","","","","Stone Pine Press","Marcola, Ore.","English","","","","","WorldCat Discovery Service","","Section: ix, 178, [1] pages : illustrations ; 23 cm.","","","","History.; Literature.; Oregon authors.; Women astronomers.; Women in astronomy History.; Women in astronomy.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TLQCIHBT","book","2008","Zoli, Corri.","Engineering: women and leadership","","978-1-59829-668-6","","","","","2008","2020-09-16 14:29:26","2020-09-16 14:29:26","","","viii, 106","","","","","Engineering","Synthesis lectures on engineering, technology, and society ; #5","","","","Morgan & Claypool","San Rafael","English","","","","","WorldCat Discovery Service","","Section: viii, 106 pages : color illustrations ; 24 cm.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZQ2DUASG","book","2014","White, Jonathan Randall.","Terrorism and homeland security","","978-1-285-06196-2 978-1-285-06226-6","","","","","2014","2020-09-16 14:29:26","2020-09-16 15:47:24","","","xxvi, 501","","","","","","","","","","Wadsworth Cengage Learning","Belmont, CA","English","","","","","WorldCat Discovery Service","","Section: xxvi, 501 pages : illustrations ; 27 cm","","","","Civil defense United States.; Civil defense.; Law enforcement United States.; Law enforcement.; National security United States.; National security.; Terrorism Prevention.; Terrorism United States Prevention.; United States.","","","","","","","","","","","","","","","","","","","","","Eighth edition.","","","","","","","","","","","","","","","","","","","","","","","","","",""
