&#65279;"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"QVFXKQGY","book","2000","Rosser, Sue Vilhauer.","Women, science, and society: the crucial union","","978-0-8077-3943-3 978-0-8077-3942-6","","","","","2000","2020-09-16 15:04:37","2020-09-22 16:28:23","","","x, 166","","","","","Women, science, and society","Athene series","","","","Teachers College Press","New York","English","","","","","WorldCat Discovery Service","","Section: x, 166 pages : illustrations ; 24 cm.","","","","Biotechnologie.; Feminism.; Natuurwetenschappen.; Physicians, Women.; Samenwerking.; Science.; Voortplantingstechnieken.; Vrouwen.; Vrouwenstudies.; Women life scientists.; Women.; Women's studies.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4XWTK4ZN","book","2020","Dickmann, Nancy","Women scientists in astronomy and space","","978-1-4747-9858-7","","","","","2020","2020-09-16 15:04:37","2020-09-22 16:30:33","","","","","","","","","Superwomen in STEM","","","","Raintree","Oxford","English","","","","","WorldCat Discovery Service","","Section: 1 volume : illustrations ; 24 cm.","","","","Juvenile works.; Literature.; Women astronomers Juvenile literature.; Women astronomers.; Women in science Juvenile literature.; Women in science.; Women scientists Juvenile literature.; Women scientists.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HUW8MNP6","book","2018","Chattopadhyay, Anjana","Women scientists in India: lives, struggles & achievements","","978-81-237-8144-0","","","","","2018","2020-09-16 15:04:37","2020-09-22 16:30:52","","","x, 492","","","","","Women scientists in India","Popular science","","","","National Book Trust, India","New Delhi","English","","","","","WorldCat Discovery Service","","Section: x, 492 pages : illustrations (black and white) ; 22 cm.","","","","Biographies.; History.; India.; Science India History.; Science.; Scientists India Biography.; Scientists.; Success India.; Success.; Women scientists India Biography.; Women scientists.","","","","","","","","","","","","","","","","","","","","","First edition.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EL2P3SBS","book","2002","Kitaj, Karma.","Women who could ... and did: lives of 26 exemplary artists and scientists","","978-0-9715957-2-9","","","","","2002","2020-09-16 15:04:37","2020-09-22 16:29:15","","","302","","","","","Women who could ... and did","","","","","Huckle Hill Press","Chestnut Hill, Mass.","English","","","","","WorldCat Discovery Service","","Section: 302 pages : illustrations ; 22 cm","","","","United States.; Women artists Biography.; Women artists Interviews.; Women artists United States.; Women artists.; Women intellectuals United States.; Women intellectuals.; Women scientists Biography.; Women scientists Interviews.; Women scientists United States.; Women scientists.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"257XQ3CJ","book","2012","Bracken, Susan; Gáldy, Andrea.; Turpin, Adriana.; University of London. Institute of Historical Research.","Women patrons and collectors","","978-1-4438-3464-3","","","http://hdl.library.upenn.edu/1017.12/366287","","2012","2020-09-16 15:04:37","2020-09-22 16:31:08","2020-09-16 15:04:36","","xxxviii, 198","","","","","","","","","","Cambridge Scholars Publishing","Newcastle upon Tyne","English","","","","","WorldCat Discovery Service","","Section: xxxviii, 198 pages : illustrations ; 21 cm","","","","Art and Design.; Conference papers and proceedings.; Europe.; Kunstsammlerin; Mäzenin; Women art collectors Europe Congresses.; Women art collectors.; Women art patrons Europe Congresses.; Women art patrons.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6IB5PIJD","book","2006","Sheffield, Suzanne Le-May","Women and science: social impact and interaction","","978-0-8135-3737-5","","","","","2006","2020-09-16 15:04:37","2020-09-22 16:28:03","","","xxxv, 409","","","","","Women and science","Science and society","","","","Rutgers University Press","New Brunswick, New Jersey","English","","","","","WorldCat Discovery Service","","Section: xxxv, 409 pages : illustrations ; 26 cm.","","","","Feminism and science.; Féminisme et sciences.; Femmes dans les sciences Aspect social.; Femmes scientifiques.; Women in science Social aspects.; Women scientists.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DY62KDTU","book","2016","McAneney, Caitie","Women in space","","978-1-4994-1048-8 978-1-4994-1089-1 978-1-4994-1078-5","","","","","2016","2020-09-16 15:04:37","2020-09-22 16:28:58","","","32","","","","","","Women groundbreakers","","","","PowerKids Press","New York","English","","","","","WorldCat Discovery Service","","Section: 32 pages : color illustrations ; 23 cm.","","","","Astronauts.; Juvenile works.; Literature.; Scientists.; Women astronauts Juvenile literature.; Women astronauts.; Women scientists Juvenile literature.; Women scientists.; Women.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W4FKM696","book","2013","George, Ann; Weiser, M. Elizabeth.; Zepernick, Janet.","Women and rhetoric between the wars","","978-0-8093-3138-3 978-0-8093-3139-0","","","","","2013","2020-09-16 15:04:37","2020-09-22 16:29:44","","","xiii, 302","","","","","","Studies in rhetorics and feminisms","","","","Southern Illinois University Press","Carbondale","English","","","","","WorldCat Discovery Service","","Section: xiii, 302 pages : illustrations ; 23 cm.","","","","1900-1999; Diskurs; Feminism Language.; Feminism United States History 20th century.; Feminism.; Féminisme États-Unis Histoire 20e siècle.; Feminismus; Femmes dans la vie publique États-Unis Histoire 20e siècle.; Femmes Langage.; Frau.; History.; Rhetorik; United States.; USA.; Women in public life United States History 20th century.; Women in public life.; Women Language.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EYFDPVZF","book","2017","Gagne, Tammy","Women in Earth and space exploration","","978-1-68078-266-0","","","131728","","2017","2020-09-16 15:04:53","2020-09-22 16:27:20","2020-09-16 15:04:51","","48","","","","","","Women in STEM","","","","Core Library, an imprint of Abdo Publishing","Minneapolis, Minnesota","English","","","","","WorldCat Discovery Service","","Section: 48 pages : illustrations (chiefly color) ; 24 cm.","","","","Astronautics Vocational guidance.; Astronomers Juvenile literature.; Astronomers.; Astronomy Vocational guidance.; Earth (Planet); Earth (Planet) Juvenile literature.; Earth science Vocational guidance.; Juvenile works.; Literature.; Outer planets Juvenile literature.; Outer planets.; Outer space Juvenile literature.; Outer space.; Planets Juvenile literature.; Planets.; Solar system Juvenile literature.; Solar system.; Vocational guidance.; Women astronauts.; Women astronomers.; Women earth scientists.; Women in astronautics.; Women in astronomy.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZAHKX7QL","book","2011","Rossiter, Margaret W.","Women scientists in America: forging a new world since 1972","","978-1-4214-0233-8 978-1-4214-0363-2","","","","","2011","2020-09-16 15:04:53","2020-09-22 16:25:04","","","xx, 426","","","","","Women scientists in America","","","","","John Hopkins University Press","Baltimore, Md.","English","","","","","WorldCat Discovery Service","","Section: xx, 426 pages, 16 unnumbered pages of plates : illustrations ; 24 cm","","","","1900 - 2099; History.; United States.; Women in science United States History 20th century.; Women in science United States History 21st century.; Women in science.; Women scientists United States History 20th century.; Women scientists United States History 21st century.; Women scientists.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
